시도교육청,학교도로명주소,학교도로명상세주소,"정보공시 
학교코드",학교명,홈페이지주소,설립구분,전화번호,남녀공학구분,"주 출입구 
접근로 
설치여부","장애인 전용 주차구역 
지정여부","주출입구 
높이차이 
제거여부",복도,"계단/승강기/
경사로/
휠체어리프트 유무","장애인용 대변기 
설치여부","장애인용 소변기 
설치여부"," 점자블록 
설치여부"," 유도 및 안내설비 
설치여부"," 경보 및 피난설비 
설치여부"
광주광역시교육청,광주광역시 북구 문산로 66,(문흥동),S050000246,무등초등학교,http://www.munsan.es.kr,공립,062-250-2102,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 대천로169번길 7,"(문흥동,문정초등학교)",S050000247,문산초등학교,www.munjung.es.kr,공립,260-1606,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 문산로 17,", 문흥중앙초등학교 (문흥동)",S050000248,문정초등학교,,공립,062-250-0590,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 면앙로 19,", 문흥초등학교 (문흥동)",S050000249,문흥중앙초등학교,http://www.munhung.es.kr,공립,062-250-7700,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 전평길 40-1,(매월동),S050000250,문흥초등학교,http://www.salesio.es.kr,공립,622271016,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 송해로 21,", 삼각초등학교 (삼각동)",S050000252,살레시오초등학교,http://www.samgak.es.kr/,사립,062-570-6502,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 밤실로208번길 55,"(두암동,삼정초등학교)",S050000253,삼각초등학교,http://k-samjung.es.kr,공립,062-250-5804,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 설죽로 590,(일곡동),S050000254,삼정초등학교,http://www.seoil.es.kr,공립,062-570-5702,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 대천로 55,"(오치동,오정초등학교)",S050000255,서일초등학교,http://www.k-ojong.es.kr/,공립,062-250-1703,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 설죽로 290,", 오치초등학교 (오치동)",S050000256,오정초등학교,http://www.ochi.es.kr/,공립,062-250-0608,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 북구 임방울대로1041번길 25,", 용두초등학교 (신용동)",S050000257,오치초등학교,http://www.k-yongdu.es.kr/,공립,062-605-7501,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 용주로 15,", 용주초등학교 (용봉동)",S050000258,용두초등학교,http://www.yongju.es.kr,공립,062-510-5601,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 동구 밤실로 142,", 율곡초등학교 (산수동)",S050000260,용주초등학교,http://k-yulgok.es.kr,공립,062-260-2204,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 설죽로 530,"(일곡동,광주일곡초등학교)",S050000262,율곡초등학교,http://www.ilgok.es.kr/,공립,062-570-1608,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 일곡택지로 45,", 일동초등학교 (일곡동)",S050000263,일곡초등학교,http://www.k-ildong.es.kr,공립,062-570-1000,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 일곡마을로 187,", 일신초등학교 (일곡동)",S050000264,일동초등학교,http://www.k-ilshin.es.kr/,공립,062-606-8700,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 북구 청계로 33,"(용봉동,태봉초등학교)",S050000265,일신초등학교,http://www.k-taebong.es.kr,공립,062-519-1700,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 월산로 266,(농성동),S050000266,태봉초등학교,http://www.gwangcheon.es.kr,공립,062-360-6702,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 상무버들로54번길 5,"(유촌동, 극락초등학교)",S050000411,광주광천초등학교,http://www.kukrak.es.kr/,공립,062-370-2604,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 금화로481번길 7,"(월산동,농성초등학교)",S050000412,광주극락초등학교,http://www.nongsung.es.kr,공립,062-360-6520,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 서동로2번길 8,", 광주대성초등학교 (서동)",S050000413,광주농성초등학교,http://www.k-daesung.es.kr,공립,062-650-3902,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 큰방림길 20,", 광주방림초등학교 (방림동)",S050000414,광주대성초등학교,http://www.banglim.es.kr,공립,062-670-7209,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 독립로 51,", 광주백운초등학교 (백운동)",S050000415,광주방림초등학교,http://baekun.es.kr,공립,062-670-9125,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 봉주길 32,", 광주봉주초등학교 (주월동)",S050000416,광주백운초등학교,www.boungju.es.kr,공립,062-650-6600,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 회서로 30,"(주월동,삼육중고등학교)",S050000417,광주봉주초등학교,http://gwangju36.es.kr,공립,070-4018-7011,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 금호운천길 67,(금호동),S050000418,광주삼육초등학교,www.sangmoo.es.kr,사립,062-370-2804,남녀공학,미설치,단순설치,미설치,미설치,적정설치,미설치,미설치,미설치,미설치,미설치
광주광역시교육청,광주광역시 서구 화운로194번길 6,(화정동),S050000419,광주상무초등학교,http://www.seo.es.kr,공립,062-360-4104,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 남구 송암로 73,"(송하동,광주송원초등학교)",S050000420,광주서초등학교,http://www.k-songwon.es.kr,공립,623605591,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 경열로121번길 5,(양동),S050000421,광주송원초등학교,http://www.k-yangdong.es.kr/index.html,사립,062-606-5700,남녀공학,단순설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,단순설치,미설치,적정설치
광주광역시교육청,광주광역시 남구 월산로116번길 6,", 월산초등학교 (월산동)",S050000422,광주양동초등학교,http://www.woulsan.es.kr,공립,062-720-3505,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 남구 봉선로51번길 14,"(주월동,제석초등학교)",S050000423,광주월산초등학교,http://www.jeseok.es.kr,공립,062-650-6701,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 양림로 92,"(양림동,학강초등학교)",S050000424,광주제석초등학교,http://www.hakkang.es.kr,공립,627205307,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,단순설치
광주광역시교육청,광주광역시 서구 월드컵4강로146번길 10,"(화정동,화정초등학교)",S050000425,광주학강초등학교,http://www.kjhwajeong.es.kr,공립,062-380-2702,남녀공학,적정설치,미설치,적정설치,단순설치,미설치,단순설치,단순설치,적정설치,단순설치,미설치
광주광역시교육청,광주광역시 남구 화산로 7,", 광주효덕초등학교 (진월동)",S050000426,광주화정초등학교,http://www.kjhd.es.kr,공립,626501104,남녀공학,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,적정설치,단순설치
광주광역시교육청,광주광역시 광산구 임방울대로165번길 60,(운남동),S050000427,광주효덕초등학교,www.k-kumgu.es.kr,공립,062-958-6577,남녀공학,단순설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 풍암중앙로 83,", 금당초등학교 (풍암동)",S050000428,금구초등학교,http://www.geumdang.es.kr,공립,062-670-6203,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 금화로115번길 22,(금호동),S050000429,금당초등학교,http://www.kumboo-e.es.kr,공립,062-410-1701,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 금부로95번길 26-11,"(쌍촌동,금호초등학교)",S050000430,금부초등학교,http://www.k-kumho.es.kr/,공립,623707171,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 남구 고싸움로152번길 1,(지석동),S050000431,금호초등학교,http://www.daechon-j.es.kr/,공립,062-380-7100,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 광산구 동곡로 151-17,", 동곡초등학교 (하산동)",S050000433,대촌중앙초등학교,http://donggok.es.kr,공립,062-943-3332,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 마재로 27,", 마재초등학교 (금호동)",S050000434,동곡초등학교,http://www.majae.es.kr,공립,062-670-5203,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 목련로219번길 104,"(운남동,마지초등학교)",S050000435,마재초등학교,http://www.k-maji.es.kr/,공립,062-958-7400,남녀공학,적정설치,적정설치,적정설치,미설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 월지길 7,(무학초등학교),S050000436,마지초등학교,http://www.moohak.es.kr,공립,062-374-5485,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 첨단중앙로181번길 70,(월계동),S050000437,무학초등학교,http://www.misan.es.kr,공립,062-970-9600,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,미설치,미설치
광주광역시교육청,광주광역시 광산구 목련로153번길 20,(운남동),S050000438,미산초등학교,http://www.mogryeon.es.kr,공립,062-958-5800,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 학생독립로 16,(화정동),S050000439,목련초등학교,http://seongjin.es.kr,공립,062-602-5504,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 용진로 323,", 본량초등학교 (남산동)",S050000440,성진초등학교,http://www.ponryang.es.kr/,공립,062-943-9662,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 봉선중앙로118번길 4,(봉선동),S050000443,본량초등학교,www.bongsun.es.kr,공립,062-670-4130,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 비아동원촌길 19-20,(비아동),S050000445,봉선초등학교,http://www.bia.es.kr,공립,062-958-9902,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 광산구 산월로9번길 36,(월계동),S050000447,비아초등학교,http://www.sanwol.es.kr,공립,062-970-4707,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 용진로 9,(도덕동),S050000448,산월초등학교,www.samdo.es.kr,공립,062-949-1521,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 상무오월로38번길 36,"(쌍촌동,서광초등학교)",S050000451,삼도초등학교,http://seo-gwang.es.kr,공립,370-1124,남녀공학,미설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 사암로158번길 49,"(우산동,송우초등학교)",S050000453,서광초등학교,http://www.k-songwoo.es.kr/,공립,062-949-2501,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주 광산구 사암로27번길 58,(신촌동),S050000454,송우초등학교,http://www.songjeong-d.es.kr/,공립,062-949-2802,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 상무대로 114,(도산동),S050000457,송정동초등학교,http://songseo.es.kr,공립,062-949-2303,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 어등대로653번길 90,", 송정중앙초등학교 (소촌동)",S050000460,송정서초등학교,http://www.sjc.es.kr/,공립,062-949-6704,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 송도로208번길 25,(도산동),S050000462,송정중앙초등학교,http://www.k-songjeong.es.kr,공립,062-949-3707,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 눌재로 408,"(세하동,송학초등학교)",S050000464,송정초등학교,http://www.songhak.es.kr,공립,062-602-4012,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 신가로40번길 21,(신가동),S050000465,송학초등학교,http://www.shinga.es.kr,공립,062-960-5140,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 풍암2로 56,"(풍암동,신암초등학교)",S050000466,신가초등학교,http://www.sinarm.es.kr/,공립,062-650-0673,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,단순설치,단순설치
광주광역시교육청,광주광역시 광산구 월곡산정로 50,(우산동),S050000467,신암초등학교,http://www.odung.es.kr,공립,062-958-0901,남녀공학,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 염화로134번길 28,", 염주초등학교 (화정동)",S050000468,어등초등학교,http://www.yeomju.es.kr,공립,062-380-1140,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 하남대로 248-22,"(운남동,운남초등학교)",S050000469,염주초등학교,www.wunnam.es.kr,공립,062-958-5702,남녀공학,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 치평로 59,"(치평동,운천초등학교)",S050000470,운남초등학교,http://www.woonchun.es.kr/,공립,062-600-2702,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 첨단내촌로 83,(월계동),S050000472,운천초등학교,,공립,062-970-4802,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 월곡산정로 107,", 월곡초등학교 (월곡동)",S050000474,월계초등학교,,공립,062-958-3802,남녀공학,적정설치,적정설치,적정설치,단순설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 서구 상무버들로16번길 6-10,", 유덕초등학교 (유촌동)",S050000475,월곡초등학교,http://www.yudeok.es.kr,공립,062-380-6504,남녀공학,적정설치,적정설치,단순설치,적정설치,단순설치,적정설치,단순설치,적정설치,적정설치,단순설치
광주광역시교육청,광주광역시 남구 봉선로175번길 16,"(봉선동,유안초등학교)",S050000476,유덕초등학교,http://www.yuan.es.kr/,공립,062-650-3703,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 서구 내방로 153,"(쌍촌동,유촌초등학교)",S050000477,유안초등학교,http://www.k-yuchon.es.kr/,공립,062-370-8700,남녀공학,적정설치,적정설치,적정설치,미설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 광산구 하림길 26,(임곡동),S050000478,유촌초등학교,http://www.k-imgok.es.kr,공립,720-3300,남녀공학,적정설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,적정설치
광주광역시교육청,광주광역시 남구 회서로 27,", 장산초등학교 (주월동)",S050000480,임곡초등학교,http://www.k-jangsan.es.kr,공립,062-650-2392,남녀공학,단순설치,적정설치,적정설치,적정설치,미설치,적정설치,적정설치,적정설치,적정설치,미설치
광주광역시교육청,광주광역시 광산구 첨단과기로 104,(월계동),S050000482,장산초등학교,http://www.jungam.es.kr,공립,062-970-4104,남녀공학,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,적정설치,미설치,미설치
